kills_first_4_min,assists_first_4_min,camps_cleared_first_4_min,gold_earned_first_4_min,win,kills_details,summoner_spells,champion,first_item,level_at_first_blood,firstBlood,gold_per_minute,game_type
0,0,28,1375,True,[],"(11, 4)",Shyvana,No Item,3,False,343.75,Ranked Solo/Duo
0,0,24,1315,False,[],"(11, 4)",Viego,Blue,3,False,328.75,Ranked Solo/Duo
0,0,28,1395,True,[],"(4, 11)",Kayn,Red,3,False,348.75,Ranked Flex
0,0,28,1395,False,[],"(11, 4)",Morgana,No Item,3,False,348.75,Ranked Flex
1,0,24,1635,True,[226988],"(11, 4)",Kayn,Red,4,False,408.75,Ranked Solo/Duo
1,0,20,1566,False,[198266],"(4, 11)",Nocturne,Red,3,False,391.5,Ranked Solo/Duo
0,0,16,1145,True,[],"(11, 4)",Amumu,Green,3,False,286.25,Ranked Solo/Duo
0,0,28,1395,False,[],"(11, 4)",Shyvana,Red,4,False,348.75,Ranked Solo/Duo
0,0,28,1395,False,[],"(11, 6)",Shyvana,Green,4,False,348.75,Ranked Solo/Duo
0,0,28,1395,True,[],"(11, 6)",Hecarim,Blue,4,False,348.75,Ranked Solo/Duo
0,0,28,1395,True,[],"(4, 11)",Lillia,Blue,3,False,348.75,Ranked Flex
0,0,24,1310,False,[],"(11, 6)",Udyr,Blue,3,False,327.5,Ranked Flex
0,1,27,1531,True,[],"(11, 4)",Nunu,Blue,2,False,382.75,Ranked Flex
0,0,28,1395,False,[],"(4, 11)",Lillia,No Item,2,False,348.75,Ranked Flex
0,0,28,1395,False,[],"(4, 11)",Trundle,Blue,4,False,348.75,Ranked Flex
0,0,28,1395,True,[],"(11, 4)",Lillia,Blue,4,False,348.75,Ranked Flex
1,0,16,1467,False,[183405],"(11, 4)",Khazix,Blue,3,False,366.75,Ranked Solo/Duo
0,4,20,1575,True,[],"(11, 4)",Nunu,Blue,3,False,393.75,Ranked Solo/Duo
0,0,24,1338,True,[],"(11, 4)",Nocturne,Red,1,False,334.5,Ranked Solo/Duo
0,4,24,1496,False,[],"(4, 11)",FiddleSticks,Blue,1,False,374.0,Ranked Solo/Duo
1,2,28,2087,True,[199144],"(11, 3)",Karthus,Red,1,False,521.75,Ranked Solo/Duo
0,0,20,1235,False,[],"(14, 11)",Kayn,Red,1,False,308.75,Ranked Solo/Duo
1,0,28,1715,True,[218987],"(4, 11)",MonkeyKing,Blue,3,False,428.75,Ranked Solo/Duo
1,0,20,1550,False,[190241],"(11, 4)",Nidalee,Red,3,False,387.5,Ranked Solo/Duo
0,0,0,500,False,[],"(4, 14)",Leona,No Item,0,False,125.0,Ranked Solo/Duo
0,0,0,500,True,[],"(11, 4)",FiddleSticks,Blue,0,False,125.0,Ranked Solo/Duo
0,0,20,1159,True,[],"(11, 6)",Udyr,Blue,0,False,289.75,Ranked Solo/Duo
1,0,16,1540,False,[171661],"(11, 4)",Vi,Red,3,True,385.0,Ranked Solo/Duo
0,0,20,1260,True,[],"(11, 4)",Graves,Red,3,False,315.0,Ranked Solo/Duo
0,0,23,1321,True,[],"(11, 4)",Lillia,Red,3,False,330.25,Ranked Solo/Duo
0,0,16,1121,False,[],"(11, 4)",Skarner,Green,3,False,280.25,Ranked Solo/Duo
0,0,28,1395,True,[],"(11, 4)",Elise,Red,3,False,348.75,Ranked Solo/Duo
0,0,24,1335,False,[],"(11, 4)",Skarner,Blue,3,False,333.75,Ranked Solo/Duo
0,1,24,1511,True,[],"(4, 11)",Kayn,Blue,2,False,377.75,Ranked Solo/Duo
0,0,16,1116,False,[],"(11, 4)",Viego,Blue,2,False,279.0,Ranked Solo/Duo
0,1,16,1448,True,[],"(4, 11)",Viego,Red,2,False,362.0,Ranked Solo/Duo
0,1,26,1510,False,[],"(4, 11)",Ivern,Blue,2,False,377.5,Ranked Solo/Duo
1,0,28,1830,True,[230508],"(11, 14)",Shaco,Blue,4,True,457.5,Ranked Solo/Duo
0,0,28,1395,False,[],"(11, 4)",Vi,Green,4,False,348.75,Ranked Solo/Duo
0,0,28,1395,False,[],"(11, 4)",Shyvana,Red,3,False,348.75,Ranked Solo/Duo
0,0,24,1320,True,[],"(11, 4)",Vi,Red,3,False,330.0,Ranked Solo/Duo
1,0,24,1755,True,[225396],"(4, 11)",Zac,Green,4,True,438.75,Ranked Solo/Duo
0,0,24,1315,False,[],"(11, 6)",Hecarim,Blue,4,False,328.75,Ranked Solo/Duo
1,0,24,1730,True,[155923],"(6, 11)",Hecarim,Blue,2,False,432.5,Ranked Solo/Duo
0,0,23,1260,False,[],"(4, 11)",Sejuani,Green,3,False,315.0,Ranked Solo/Duo
0,0,24,1355,True,[],"(11, 4)",Shyvana,Red,4,False,338.75,Ranked Solo/Duo
0,0,16,1120,False,[],"(6, 11)",Rammus,Blue,4,False,280.0,Ranked Solo/Duo
0,0,24,1340,True,[],"(11, 4)",Nocturne,Red,5,False,335.0,Ranked Solo/Duo
0,1,26,1595,True,[],"(4, 11)",Ivern,Blue,4,False,398.75,Ranked Solo/Duo
0,0,28,1409,False,[],"(4, 11)",Lillia,Blue,4,False,352.25,Ranked Solo/Duo
1,0,24,1640,True,[88146],"(4, 11)",Elise,Red,2,False,410.0,Ranked Solo/Duo
1,0,28,1715,False,[232749],"(11, 6)",Udyr,Blue,2,False,428.75,Ranked Solo/Duo
0,0,28,1410,False,[],"(4, 11)",Amumu,Green,4,False,352.5,Ranked Solo/Duo
0,0,12,1021,True,[],"(6, 11)",Gwen,Red,3,False,255.25,Ranked Solo/Duo
0,0,24,1340,False,[],"(11, 4)",Nidalee,Red,1,False,335.0,Ranked Solo/Duo
0,0,27,1378,True,[],"(11, 4)",Diana,Blue,2,False,344.5,Ranked Solo/Duo
0,0,32,1456,False,[],"(11, 4)",LeeSin,Red,3,False,364.0,Ranked Solo/Duo
0,1,20,1319,True,[],"(4, 11)",Briar,Blue,3,False,329.75,Ranked Solo/Duo
1,0,24,1730,False,[225652],"(11, 4)",Sejuani,Green,4,True,432.5,Ranked Solo/Duo
0,0,24,1315,True,[],"(11, 4)",Viego,Blue,4,False,328.75,Ranked Solo/Duo
1,0,20,1526,False,[194154],"(4, 11)",Nocturne,Red,1,False,381.5,Ranked Solo/Duo
0,2,16,1457,True,[],"(4, 11)",Kindred,Red,1,False,364.25,Ranked Solo/Duo
0,0,27,1386,False,[],"(11, 4)",Viego,Green,4,False,346.5,Ranked Solo/Duo
0,0,24,1335,True,[],"(4, 11)",Sylas,Blue,4,False,333.75,Ranked Solo/Duo
0,0,28,1395,False,[],"(4, 11)",Kayn,Red,4,False,348.75,Ranked Solo/Duo
1,0,20,1660,True,[204334],"(11, 4)",Belveth,Blue,3,True,415.0,Ranked Solo/Duo
1,0,28,1723,False,[238081],"(11, 4)",Viego,Green,4,False,430.75,Ranked Solo/Duo
0,0,28,1395,True,[],"(6, 11)",Hecarim,Blue,4,False,348.75,Ranked Solo/Duo
1,1,20,1694,False,[226172],"(11, 14)",Shaco,Blue,3,False,423.5,Ranked Solo/Duo
0,0,20,1206,True,[],"(11, 4)",Khazix,Blue,3,False,301.5,Ranked Solo/Duo
0,0,28,1421,False,[],"(11, 4)",Khazix,Blue,3,False,355.25,Ranked Solo/Duo
1,1,20,1774,True,[236050],"(4, 11)",LeeSin,Red,3,False,443.5,Ranked Solo/Duo
1,0,12,1331,False,[191009],"(11, 14)",Shaco,Blue,3,False,332.75,Ranked Solo/Duo
0,0,20,1232,True,[],"(4, 11)",Brand,Red,3,False,308.0,Ranked Solo/Duo
